Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
1,ciocco sam,seidl,,61.0,1700,0,nass
2,sinfonie,bojko,,57.0,1700,0,nass
3,danse en soiree,wagner,,59.0,1700,0,nass
4,pedro cays,starke,,59.5,1700,0,nass
5,gold prize,richter,,57.5,1700,0,nass
6,matja mou,weißmeier,,60.5,1700,0,nass
7,braendon,rogl,,56.0,1700,0,nass
8,sir nicolas,wandt,,56.0,1700,0,nass
9,decado,pecheur,,54.0,1700,0,nass
10,walkabout,minarik,,56.5,1700,0,nass
11,cascada,beckmann,,57.5,1700,0,nass
12,rheinstern,murke,,53.0,1700,0,nass
13,papageno,best,,53.0,1700,0,nass
1,aristocrata,starke,,55.0,1500,0,nass
2,manisa (fr),minarik,,56.0,1500,0,nass
3,over the sky,pecheur,,55.0,1500,0,nass
4,lezar,ganbat,,54.0,1500,0,nass
5,lonesome,bojko,,55.0,1500,0,nass
6,cape violet,schiergen,,58.0,1500,0,nass
1,danon perth (aus),ganbat,,60.0,1100,0,nass
2,madayan,bojko,,53.0,1100,0,nass
3,historic occasion (ire),seidl,,59.0,1100,0,nass
4,elzeeza,minarik,,55.0,1100,0,nass
5,beltaine fire,schiergen,,58.0,1100,0,nass
6,diplomatie,pecheur,,55.0,1100,0,nass
7,zaubergirl,laznovska,,52.0,1100,0,nass
8,first beauty,starke,,55.5,1100,0,nass
9,nugget,beckmann,,54.0,1100,0,nass
1,eastside gallery,seidl,,54.0,1500,0,nass
2,falakee (gb),hofer,,60.0,1500,0,nass
3,""" heavens gift """,lopez,,54.5,1500,0,nass
4,nightdance prince,laznovska,,55.0,1500,0,nass
5,los cantos,minarik,,55.5,1500,0,nass
6,so oder so,starke,,59.5,1500,0,nass
7,raise a smile,bojko,,54.0,1500,0,nass
8,all ways to rome,pecheur,,57.5,1500,0,nass
9,welcome in life,porcu,,55.5,1500,0,nass
1,birthday prince,starke,,59.0,1900,0,nass
2,usbeke,lopez,,56.0,1900,0,nass
3,oasis knight,seidl,,54.0,1900,0,nass
4,amita,hofer,,55.0,1900,0,nass
5,serko (fr) (h),weißmeier,,53.0,1900,0,nass
6,orluna,minarik,,55.0,1900,0,nass
7,dwayne,glomba,,56.5,1900,0,nass
8,leccoginella,pecheur,,54.0,1900,0,nass
9,penny pitcher,danz,,53.0,1900,0,nass
10,count lucien,rank,,54.0,1900,0,nass
11,charlie fable,laznovska,,55.0,1900,0,nass
12,hackpenthomas,weißmeier,,58.0,1900,0,nass
1,hideki danon,minarik,,58.0,1900,0,nass
2,""" timms pearly """,starke,,55.0,1900,0,nass
3,readyspice,ganbat,,59.0,1900,0,nass
4,capricornus,seidl,,53.0,1900,0,nass
5,bon spiel,weißmeier,,54.5,1900,0,nass
6,vein of gold,danz,,52.0,1900,0,nass
7,fujiyama danon (ire),oppermann,,59.0,1900,0,nass
8,feather cloud,bojko,,60.5,1900,0,nass
9,kapalua bay,laznovska,,52.0,1900,0,nass
10,cascada,beckmann,,51.0,1900,0,nass
11,winning baby,pecheur,,61.0,1900,0,nass
1,flashing star,lopez,,58.0,2300,0,nass
2,ghaayer,wagner,,57.0,2300,0,nass
3,adalea,pecheur,,57.0,2300,0,nass
4,wellinas,schiergen,,57.5,2300,0,nass
5,guardian angel,gibson,,59.5,2300,0,nass
6,iron will,minarik,,59.0,2300,0,nass
7,lacado,bojko,,54.0,2300,0,nass
8,loonita,seidl,,57.0,2300,0,nass
9,boshoevenscarlet,oppermann,,48.5,2300,0,nass
10,sternenwind,starke,,55.0,2300,0,nass
1,kepheus,schiergen,,58.5,1500,0,nass
2,favorfoot danon (ire),pecheur,,54.0,1500,0,nass
3,crespo,laznovska,,61.0,1500,0,nass
4,ricadonna,hofer,,60.5,1500,0,nass
5,pagan warrior (ire),glomba,,56.5,1500,0,nass
6,singha,starke,,61.0,1500,0,nass
7,sajja,mattes,,60.0,1500,0,nass
8,royal bonita,minarik,,54.0,1500,0,nass
9,spiffing,rank,,54.5,1500,0,nass
10,red hot chilly,bieß,,60.0,1500,0,nass
11,practical joke,seidl,,57.5,1500,0,nass
12,glengoyne,porcu,,60.0,1500,0,nass
13,gabrial the prince (ire),bojko,,61.5,1500,0,nass
1,earl dragon,starke,,55.0,1900,0,nass
2,zerzura,porcu,,63.0,1900,0,nass
3,alluvia,ganbat,,54.5,1900,0,nass
4,princess dumont,danz,,51.5,1900,0,nass
5,twin star,glomba,,59.0,1900,0,nass
6,hoseo,hofer,,58.5,1900,0,nass
7,cioccomia,pecheur,,53.0,1900,0,nass
8,sir hilleshage,lopez,,54.0,1900,0,nass
9,town rebel,mattes,,55.0,1900,0,nass
10,fair storm,bojko,,60.5,1900,0,nass
11,sappho,minarik,,54.0,1900,0,nass
12,amanjena,palik,,61.0,1900,0,nass
1,killusty fancy,ganbat,,60.5,2300,0,nass
2,river storm dancer,lopez,,56.0,2300,0,nass
3,anna bellamy,danz,,51.0,2300,0,nass
4,our passion,minarik,,60.5,2300,0,nass
5,table mountain,wandt,,53.0,2300,0,nass
6,twin star,glomba,,58.5,2300,0,nass
7,furisto,starke,,58.0,2300,0,nass
8,nuoro,gibson,,61.5,2300,0,nass
1,jolie fille,glomba,,55.5,2300,0,nass
2,vivre libre,starke,,58.0,2300,0,nass
3,serko (fr) (h),hofer,,59.0,2300,0,nass
4,red avalanche,wandt,,58.0,2300,0,nass
5,goldenveil,danz,,54.5,2300,0,nass
6,chilworth lass,weißmeier,,52.5,2300,0,nass
7,pocoyo,palik,,57.5,2300,0,nass
1,pantella,oppermann,,58.5,1100,0,nass
2,mishtaag (gb),gibson,,64.5,1100,0,nass
2,royal bonita,danz,,51.0,1100,0,nass
4,inika,wandt,,54.5,1100,0,nass
5,hay fever,ganbat,,59.0,1100,0,nass
6,sajja,palik,,60.0,1100,0,nass
7,pagan warrior (ire),glomba,,53.5,1100,0,nass
8,tiger queen,minarik,,53.0,1100,0,nass
9,elzeeza,klinkenberg,,59.5,1100,0,nass
1,sharano,ganbat,,55.0,1900,0,nass
2,birthday guest,starke,,58.0,1900,0,nass
3,victor hugo alezan,minarik,,58.0,1900,0,nass
4,la gospa,hofer,,56.0,1900,0,nass
5,lunar prospect (fr),palik,,58.0,1900,0,nass
6,falconettei,bojko,,58.0,1900,0,nass
7,aunt ger,weißmeier,,53.0,1900,0,nass
1,falakee (gb),hofer,,62.5,1900,0,nass
2,elgin,starke,,60.5,1900,0,nass
3,feather storm,wandt,,59.5,1900,0,nass
4,hideki danon,minarik,,59.0,1900,0,nass
5,serafina,danz,,55.0,1900,0,nass
6,zerzura,bojko,,59.0,1900,0,nass
7,kerito,lopez,,54.0,1900,0,nass
1,auendancer,wandt,,59.0,1900,0,nass
2,chaudoun,palik,,64.5,1900,0,nass
3,""" kings special """,hofer,,60.0,1900,0,nass
4,oleandra,minarik,,54.0,1900,0,nass
5,monolithos,bojko,,61.5,1900,0,nass
6,keyana,lopez,,55.5,1900,0,nass
7,matja mou,ganbat,,59.0,1900,0,nass
8,amor fati,starke,,59.0,1900,0,nass
9,malachi,laznovska,,58.0,1900,0,nass
1,be my lion,wagner,,59.5,1500,0,nass
2,red hot chilly,lopez,,58.0,1500,0,nass
3,dulce et decorum,gibson,,62.5,1500,0,nass
4,destivo,starke,,61.5,1500,0,nass
5,westwood dawn,danz,,55.0,1500,0,nass
6,marolo,oppermann,,57.0,1500,0,nass
7,style and panache (ire),ganbat,,62.0,1500,0,nass
8,manager,hofer,,57.5,1500,0,nass
9,königin concordia,wandt,,56.5,1500,0,nass
10,zaubergirl,laznovska,,55.0,1500,0,nass
10,zaubergirl,laznovska,,55.0,1500,0,nass
11,mightyrushingwind,bojko,,54.0,1500,0,nass
12,odur,minarik,,60.0,1500,0,nass
1,white river,laznovska,,56.0,1900,0,nass
2,shakti,minarik,,61.5,1900,0,nass
3,belle zorro,oppermann,,56.5,1900,0,nass
4,dwayne,gibson,,60.0,1900,0,nass
5,bobbi dick,ganbat,,57.0,1900,0,nass
6,true lies,lopez,,55.0,1900,0,nass
7,next of kin,hofer,,56.0,1900,0,nass
8,""" champions way """,starke,,58.0,1900,0,nass
9,one day shadow,wandt,,60.0,1900,0,nass
1,dreamspeed,wandt,,61.0,1800,0,nass
2,freemason,lopez,,58.0,1800,0,nass
3,birthday prince,starke,,58.0,1800,0,nass
4,big moun (fr),laznovska,,56.0,1800,0,nass
5,thirsty bear,seidl,,55.0,1800,0,nass
6,variety show,hellyn,,55.0,1800,0,nass
7,silvana rio,hofer,,55.0,1800,0,nass
1,novillo,starke,,63.0,2500,0,nass
2,ciocco sam,wagner,,61.0,2500,0,nass
3,kapalua bay,laznovska,,59.0,2500,0,nass
4,site sentry,seidl,,60.0,2500,0,nass
5,ribana,pecheur,,54.0,2500,0,nass
6,pyrido,richter,,59.0,2500,0,nass
7,adrenalin rush,werning,,56.0,2500,0,nass
8,auenwurf,danz,,59.0,2500,0,nass
9,scarabea,best,,54.0,2500,0,nass
10,de facto,bojko,,57.0,2500,0,nass
1,cafe au lait,starke,,59.0,1800,0,nass
2,valeron (ire),hellyn,,56.0,1800,0,nass
3,ribbery,wandt,,56.0,1800,0,nass
4,casiro,best,,56.0,1800,0,nass
5,alte liebe,lopez,,54.0,1800,0,nass
6,autumn shadow,bojko,,54.5,1800,0,nass
7,good friend,hofer,,57.0,1800,0,nass
1,la strada,richter,,53.5,1700,0,nass
2,acidici,seidl,,53.0,1700,0,nass
3,noblement,best,,56.0,1700,0,nass
4,air dream,danz,,59.0,1700,0,nass
5,fujiyama danon (ire),starke,,59.0,1700,0,nass
6,""" heavens gift """,lopez,,57.0,1700,0,nass
7,nemo,bojko,,58.5,1700,0,nass
8,town rebel,pecheur,,53.0,1700,0,nass
9,amanjena,palik,,56.5,1700,0,nass
1,coolfighter,ganbat,,56.0,1950,0,nass
2,nasibow,lopez,,57.0,1950,0,nass
3,merlino,danz,,56.0,1950,0,nass
4,fascinating,wandt,,56.0,1950,0,nass
5,charlie fable,pecheur,,56.0,1950,0,nass
6,nelson,bojko,,57.0,1950,0,nass
7,zaubergirl,laznovska,,53.0,1950,0,nass
8,la traviata,rogl,,54.0,1950,0,nass
1,usbeke,ganbat,,58.0,1950,0,nass
2,all gentleman,richter,,59.5,1950,0,nass
3,guardian angel,starke,,56.5,1950,0,nass
4,fresh lady,bojko,,56.0,1950,0,nass
5,oasis knight,wandt,,56.0,1950,0,nass
6,naidoo,pecheur,,56.0,1950,0,nass
7,adalea,hellyn,,53.0,1950,0,nass
8,christoph columbus,seidl,,52.0,1950,0,nass
9,torres,best,,59.0,1950,0,nass
